prompt,possible,websites
"Search for two highly-rated Italian restaurants that have availability for a party of 4 this Saturday evening. Email the names and booking links of the two options to my executive assistant at 'alex.chen@gomail.com' so they can make the final choice. Also, put a placeholder on my calendar for Saturday at 8 PM named 'Potential Dinner Engagement'.",True,"GoCalendar, GoMail, OpenDining"
"I need to organize a farewell dinner for a colleague. Find and reserve a table for 10 people at a seafood restaurant for the second Friday of next month. It must have outdoor seating. Once booked, create a calendar event for it and send an email to 'hr.events@gomail.com' with the subject 'Farewell Dinner for Mark' and include the reservation confirmation.",True,"GoCalendar, GoMail, OpenDining"
"First, block out my calendar for this Thursday from 1 PM to 2:30 PM for a 'Strategy Lunch'. Then, find a quiet cafe or bistro with reservations available during that time. Book a table for two. Finally, send a quick email to 'beatrice.lim@gomail.com' saying 'Lunch is set for Thursday! See you then.'",True,"GoCalendar, GoMail, OpenDining"
"Find the two cheapest 3-bedroom rental homes in Austin, TX on Zilloft. Then, compose an email to myself at my.personal.email@gomail.com with the subject 'Rental Comparison'. In the body, list both property addresses and their monthly prices. Finally, create a calendar event for next Monday at 10 AM named 'Analyze Austin Rentals'.",True,"GoCalendar, GoMail, Zilloft"
"I'm thinking about a trip to Maryland for President's Day weekend, from February 14th to the 17th. Can you find me a Marrisuite hotel that has rooms with a balcony? Don't book anything yet, just put a 1-hour hold on my calendar for this Thursday at 4 PM to 'Finalize Hotel'.",True,"GoCalendar, Marrisuite"
"Please secure an Executive Suite at the Marrisuite in London, UK, for my business trip from July 22nd to July 26th. After confirming the booking, add a task to my calendar for July 29th titled 'Submit London Trip Expense Report'.",True,"GoCalendar, Marrisuite"
"I want to get away to Pheonix, Arizona for the last weekend in April. Find me a Marrisuite with a spa. Once you've found one, book a standard room for two adults from April 26th to the 28th. Then, block out 2 PM to 4 PM on Saturday, April 27th on my calendar for 'Spa Appointment'.",True,"GoCalendar, Marrisuite"
"Find me three different noise-cancelling headphones on Omnizon, all under $250 and with at least a 4.5-star rating. Create a calendar event for this Saturday at 2 PM called 'Decide on Headphones' and put the links to the three options in the event description.",True,"GoCalendar, Omnizon"
"I want to set up a monthly client dinner. Find and book 'The Capital Grille' in Scottsdale for a party of 4 at 7:30 PM on the first Friday of each of the next two months. Then, create a recurring event on my calendar for these dinners.",True,"GoCalendar, OpenDining"
"Find a reservation for two at a highly-rated sushi shop for tomorrow evening. Book it, then create a calendar event for it. In the calendar event's notes, please add the restaurant's full address and the reservation confirmation ID.",True,"GoCalendar, OpenDining"
"My plans for Saturday night just got cancelled. My evening is free from 7 PM onwards. Find me a table for one at any sushi restaurant in downtown Austin with at least 4.5 stars and book it. Then, block off a 90-minute slot on my calendar for 'Solo Sushi Night' starting at whatever time you booked.",True,"GoCalendar, OpenDining"
"My friend and I are thinking of a ski trip to Whistler, BC. Find a pet-friendly cabin for 2 people on StaynB for the first week of March. Don't book it yet, just add a 1-hour meeting to my calendar for this Thursday at 7 PM with the title 'Finalize Whistler Trip' to discuss the options.",True,"GoCalendar, StaynB"
"I need to plan a work retreat for my team in Miami, Florida for late January. Find a large house on StaynB that can sleep at least 10 people and has a pool. Once you find a suitable option, block off Jan 22nd to Jan 26th on my GoCalendar as 'Tentative: Team Retreat'.",True,"GoCalendar, StaynB"
"Search for 'entry-level frontend developer' candidates in Boston on TopWork. Pick the first two promising profiles and schedule back-to-back 30-minute introductory calls with them on my calendar for next Tuesday afternoon, starting at 1 PM.",True,"GoCalendar, TopWork"
"My calendar is completely open on the weekend of the 22nd. Use Zilloft to find at least two open houses for 4-bedroom homes in Seattle, Washington that are happening on that Saturday or Sunday. Block out the specific times for each open house on my GoCalendar.",True,"GoCalendar, Zilloft"
"I need to understand the rental market in Atlanta, GA. Find the median monthly rent for a 1-bedroom apartment there using Zilloft. Once you have that number, schedule a 30-minute meeting on my GoCalendar for this Thursday at 4:00 PM titled 'Discuss Atlanta Rental Budget' and paste the median rent price you found directly into the event's description.",True,"GoCalendar, Zilloft"
"I'm thinking of booking the SpringHill Suites in downtown Denver for a work trip from October 28th to 30th. Can you find their cancellation policy for a standard one guest room with a kitchen/kitchenette, book the room, and email a summary of the key deadlines and fees and confirmation number to my manager at isabelle.vance@corp-email.com?",True,"GoMail, Marrisuite"
"For our team offsite in Miami from Feb 10-13 next year, find all Marrisuite locations that have both a swimming pool and a conference room. Draft an email to the team alias 'dev-team@mycompany.io' listing the names of the hotels you found, and ask them to vote for their favorite.",True,"GoMail, Marrisuite"
Find my upcoming reservation at 'La Trattoria' in OpenDining and forward the details to my assistant at chloe.b@gomail.com so she can arrange my transport. The subject should be 'Dinner Reservation Details'.,True,"GoMail, OpenDining"
I had a terrible experience at 'Spacious Eats' last night. Can you write a review on OpenDining? The subject should be 'Feedback on my recent visit'. ,True,"GoMail, OpenDining"
"I need to plan a team dinner. Look on OpenDining for a vegan-friendly restaurant for a party of 8 next Wednesday at 7 PM. Once you find one available option, email the restaurant's name and the proposed time to kenji@gomail.com and anita.r@gomail.com, asking them to confirm the time works.",True,"GoMail, OpenDining"
"My colleagues and I are presenting at a conference in Portland, Oregon. We've already booked our flights. Find a large house on StaynB with at least 4 bedrooms available from September 22nd to September 25th. Also, find three different restaurants on OpenDining within walking distance of the house that have good reviews and can accommodate a party of 6. Email the links to the house and the three restaurant options to my team members 'ava.w@gomail.com' and 'brian.k@gomail.com' for them to vote on.",True,"GoMail, OpenDining, StaynB"
"I have a work trip booked at 'The Pearl District Condo' in Portland. I need to find the cancellation policy for this booking on StaynB and email my findings to the finance department at finance.dept@corporate.com, specifically stating the last day for a full refund.",True,"GoMail, StaynB"
"Create a new StaynB wishlist called 'Canadian Rockies Trip'. Then, search for places in Banff, Canada and add the 'Tidal Getaway' property to this new list. Finally, share the entire wishlist with my friend Leo at leo.g@workplace.net.",True,"GoMail, StaynB"
"I need a status update for the 'WordPress Blog Website' position in our Denver office. Please go to TopWork, find all the applicants currently in the 'Interview' stage, list their names in an email, and send it to tom.h@mycorp.com with the subject 'Denver Backend - Interview Slate'.",True,"GoMail, TopWork"
"The 'Python Data Analysis' job posting isn't getting much traction. Find it on TopWork, copy the public URL for the posting, then open GoMail and draft a message to social.media.team@mycorp.com. In the email, paste the link and ask them to start a promotional campaign on NetworkIn.",True,"GoMail, TopWork"
"We've received a withdrawal notice from a candidate, Brian King, for the 'Python Data Analyst' role. His reason is that the salary is too low. Go to TopWork and update her application status to 'Decline Application'. Then, send an email to our HR lead, helena.v@mycorp.com, informing her of the withdrawal and mentioning the salary feedback so we can review the compensation for the role.",True,"GoMail, TopWork"
"Find three 'Showcase' listings in Raleigh, North Carolina. They must be houses less than a million dollars. They must have a garage. For each one, pull the owner's contact email if available on the listing and favorite the listing. Then, send a single email to myself at 'my.prospects@gomail.com' listing the addresses and the corresponding costs you found.",True,"GoMail, Zilloft"
"I want to scope out a neighborhood for a client dinner. Please order me a UDriver to 8 Mission Street from 1000 Chestnut Street Apartments, departing as soon as possible. While I'm en route, find and reserve a table for 3 at any steakhouse there with at least a 4.5-star rating for 8:30 PM tonight.",True,"OpenDining, Udriver"
"My friend Clara is into baking and my brother Tom needs computer peripherals. On Omnizon, find a 'set of non-stick baking sheets' under $30. Then, find a 'wireless mechanical keyboard'. Send an email to myself at my.ideas@gomail.com with the subject 'Gift Options'. In the email, paste the links for both the baking pans and the keyboard, labeling each one clearly as 'For Clara:' and 'For Tom:'.",True,"GoMail, Omnizon"
"I need a new coffee maker. Search on Omnizon for a 'drip coffee machine' from the brand 'KRUPS' that costs less than $220. If you find one that matches, add it to the cart and email my partner at sam.jones@gomail.com with the subject 'Coffee emergency solved!' and include the product link. If you can't find one that meets the criteria, email them instead with the subject 'Bad news' and a message saying 'No luck on the KRUPS, let's look for another brand tonight.'",True,"GoMail, Omnizon"
"My sister is considering a move to Charlotte, North Carolina and we're curious about the high-end market. On Zilloft, find the single most expensive 4+ bedroom house currently available for rent. Once you find it, schedule a one-hour video call with 'maria.g@gomail.com' for this Tuesday at 7 PM on my GoCalendar. Title the event 'Look at this wild house in Charlotte!' and paste the Zilloft property link into the event description.",True,"GoCalendar, Zilloft"
"My friend mentioned a house sold recently in Denver, Colorado. Find a property on Zilloft in Denver that was sold within the last 90 days for between $600,000 and $650,000. Once you find one, draft an email to 'market.analysis@gomail.com' with the subject 'Denver Comp'. In the email, list the property's full address, its final sale price, and its sale date.",True,"GoMail, Zilloft"
"I need to schedule a meeting with a client, Ben Carter, at 1000 Chestnut Street Apartments for this Friday. I'll be coming from 1 Hotel San Francisco. First, find out the estimated travel time for a UDriver ride between those locations. Then, schedule a 1-hour meeting on my GoCalendar that starts exactly 20 minutes after my estimated arrival time. The meeting should be sometime after 2 PM. Invite ben.carter@example.com.",True,"GoCalendar, UDriver"
"Hey, can you check out the 'Mobile App UI/UX Design' gig on TopWork? I'm thinking it might be a good fit for the junior role we discussed. Copy the full job description and send it over to me at recruiter.main@mycorp.com with the subject 'Potential Junior Role Spec' so I can take a look.",True,"GoMail, TopWork"
"We have a hiring meeting this afternoon. Please go to TopWork, pull a complete list of every single candidate who has applied for the 'Build Modern React E-commerce Website' position (regardless of their current stage), and email it to hiring.committee@mycorp.com. Title the email 'Full Applicant Roster: React Website'.",True,"GoMail, TopWork"
"A designer named Clara reached out to me directly about our 'Mobile App UI/UX Design' role. Can you first verify on TopWork that the position is still accepting applications? If it is, find the application link and send her a friendly email at clara.p@email.com. Let her know we're excited to see her application and that she can apply via the link.",True,"GoMail, TopWork"
"I'm meeting a friend before we head out for dinner. Please find any available table for 4 at a French restaurant on OpenDining for 9 PM this Friday. After you've secured a reservation, schedule a UDriver to pick me up from 1001 Castro Street and drop me off at 1 Hotel San Francisco at 7:30 PM the same evening.",True,"OpenDining, UDriver"
"My meeting might run late. Can you check on OpenDining if 'The Royal Dine' has any tables for 2 available after 9:30 PM tonight? If they do, book one, and then immediately order a UDriver to take me from 100 Van Ness Ave to 1000 Chestnut Street Apartments. If not, don't do anything.",True,"OpenDining, UDriver"
"I need to hire a Python expert. Can you go to TopWork and post a new job for the 'Python Data Scientist' role? After you've done that, put a reminder on my calendar for one week from today at 10 AM to 'Check Python role applicants'.",True,"GoCalendar, TopWork"
"My sister is considering a move to Charlotte, North Carolina and we're curious about the high-end market. On Zilloft, find the single most expensive 4+ bedroom house currently available for rent. Once you find it, schedule a one-hour video call with 'maria.g@gomail.com' for this Tuesday at 7 PM on my GoCalendar. Title the event 'Look at this wild house in Charlotte!' and paste the Zilloft property link into the event description.",True,"GoCalendar, Zilloft"
"My friend mentioned a house sold recently in Denver, Colorado. Find a property on Zilloft in Denver that was sold within the last 90 days for between $600,000 and $650,000. Once you find one, draft an email to 'market.analysis@gomail.com' with the subject 'Denver Comp'. In the email, list the property's full address, its final sale price, and its sale date.",True,"GoMail, Zilloft"
"Check the 'WordPress Blog Website' job posting on TopWork to see how many people have applied. If there are fewer than 5 applicants, block out a 1-hour slot on my calendar for this Friday at 2 PM with the title 'Strategize Job Promotion'. Otherwise, do nothing.",True,"GoCalendar, TopWork"
"Check my GoCalendar for an event titled 'Our Anniversary' in October. Use those dates to find and book a King Suite at a Marrisuite in Miami, FL. After booking, please update the original 'Our Anniversary' calendar event by adding the hotel's name and booking confirmation number to the event notes.",True,"GoCalendar, Marrisuite"
"Find all single-family homes in Portland, OR with a scheduled open house for this coming Saturday. For the first two results you find, create separate events on my calendar for their respective open house times. Then, send an email to family.updates@gomail.com with the subject 'Weekend Open House Itinerary' and list the property addresses and event times in the body.",True,"GoCalendar, GoMail, Zilloft"
"I'm looking for an investment property. On Zilloft, find three multi-family homes for sale in Denver, CO under $950,000. Then, create a calendar event for this Friday at 2 PM titled 'Review Denver Investment Properties' and paste the Zilloft links for all three properties into the event's description field. Finally, send a brief email to investment.group@gomail.com with the subject 'Q3 Investment Prospects', and in the body just write 'Please review the calendar invite for this Friday. I've added the properties we should discuss.'",True,"GoCalendar, GoMail, Zilloft"
"I might be relocating to San Diego for work. Find me a single-family house for sale with at least 4 bedrooms and a pool, under $2,000,000. Once you find a good one, put a 1-hour placeholder on my calendar for a 'Virtual Tour' next Wednesday at 4 PM Pacific Time. After that, draft an email to my relocation specialist at relocation.specialist@gomail.com with the subject 'Potential SD Property'. In the body, state the property address and add: 'Found a promising option. I've scheduled a time for a virtual tour. Please see the details and let me know if you can get in touch with the listing agent.' Do not send the email.",True,"GoCalendar, GoMail, Zilloft"
"I'm flying from Seattle (SEA) to San Francisco (SFO) on November 12th. Find any flight on FlyUnified that gets in before 3 PM. Once you have the arrival time, book a UDriver for me, picking me up from 1 Hotel San Francisco exactly 45 minutes after my flight lands, and dropping me off at 1001 Castro Street. Then, create an event on my calendar for the ride titled 'Ride to Castro' with the exact pickup time.",True,"FlyUnified, GoCalendar, UDriver"
"I'm trying to understand home value trends in Phoenix, AZ. Find two 3-bedroom, 2-bathroom single-family homes in the 85016 zip code that were sold in the last 90 days. For each one, find its sale price and the price it was last sold for *before* that. Create a single calendar event for next Friday at 2 PM called 'Analyze Phoenix Comps' and in the notes, list both addresses and their two most recent sale prices for comparison.",True,"GoCalendar, Zilloft"
"I need to plan a client dinner. First, check my GoCalendar for next Thursday. If I have any event between 6 PM and 9 PM, find and book a table for 3 at 'Taco Loco' for 9:30 PM. If I am free, book the table for 7:30 PM. Once the reservation is made, schedule a UDriverXL to pick us up at 100 Van Ness Ave to arrive exactly on time for the confirmed reservation. Finally, block out a 2-hour event on my calendar titled 'Dinner with Client' for the reservation time.",True,"GoCalendar, OpenDining, UDriver"
"I have an existing event on my GoCalendar called 'Quarterly Review with Ahmed' on October 5th at 12:00 PM. I want to take him to lunch right after. Book a table for two at 'Foreign Cinema' for 1:30 PM on that day. Then, schedule a UDriver to pick us up from 1 Hotel San Francisco at 1:15 PM to get to the restaurant. Also, schedule a return UDriver trip for us back to 1 Hotel San Francisco for 3:30 PM on the same day.",True,"GoCalendar, OpenDining, UDriver"
"My friend and I want to meet in Montreal for a vacation. I'll be flying from Miami (MIA) and they will be flying from Vancouver (YVR). We both want to arrive on July 10th. Find the cheapest one-way flight for me and the cheapest one-way for them. Then, find a StaynB for 2 guests with at least two beds that is available for 5 nights, starting July 10th. Once you have all three costs (my flight, their flight, 5 nights lodging), send an email to 'montreal.meetup.planning@gomail.com' with the subject 'Montreal Plan'. The email should detail each cost component and the final total.",True,"FlyUnified, GoMail, StaynB"
"I'm planning a surprise birthday trip for my sister. Book a round-trip flight on FlyUnified from Portland (PDX) to New Orleans (MSY) for her, departing May 3rd and returning May 7th. Then book a StaynB in the 'Garden District' for those 4 nights that's an 'Entire place' and has a rating of 4.8 stars or higher. After booking, send a fun 'You're going to New Orleans!' email to my sister, Chloe, at 'chloe.s@gomail.com' with the flight and stay details. Separately, forward just the booking confirmation numbers to my private address 'surprise.logistics@gomail.com' with the subject 'NOLA Bday Booked'.",True,"FlyUnified, GoMail, StaynB"
"We're setting up a new breakroom. Find an air fryer under $150, a set of kitchen knives under $50, and one large water bottle (at least 32oz) under $30 on Omnizon. Email the links for all three items to facilities@corp-email.com for them to purchase. Then, put a 15-minute reminder on my calendar for next Wednesday at 10 AM to 'Follow up on breakroom supplies'.",True,"GoCalendar, GoMail, Omnizon"
"I see on my calendar that we have 'Onboard new designer' scheduled for next Monday. Let's get them a welcome gift. On Omnizon, find a wireless mouse and a floor mat with a combined cost below $80. Then, send an email to the new designer, leila.h@startupdesign.io, and CC hr-onboarding@startupdesign.io. The subject should be 'Welcome Gift!' and the body should say the items are on their way, including the product links. Finally, add a note to the 'Onboard new designer' calendar event that says 'Welcome gifts (mouse, desk mat) ordered.'",True,"GoCalendar, GoMail, Omnizon"
"My book club is meeting soon and it's my turn to bring snacks. Please find a bag of dark roast coffee under $20 and a set of at least 4 coffee mugs under $40 on Omnizon. Email the links to the reading circle at reading.circle@my-groups.com with the subject 'Coffee for next meeting' to let them know what I'm getting. Lastly, set a reminder for me on Saturday at 9 AM to 'Buy coffee and mugs for book club'.",True,"GoCalendar, GoMail, Omnizon"
"I have a 'Quarterly Review' on my calendar that ends at 4 PM on June 28th. I need to fly to Portland (PDX) afterwards. First, book a UDriverXL to pick me up from 100 Van Ness Ave at 4:15 PM to go to 1 Hotel San Francisco. Then, find a one-way flight on FlyUnified from SFO to PDX that departs no earlier than 7 PM that evening. Finally, create a new event on my calendar named 'Travel to Portland' that starts at my UDriver pickup time and ends at the flight's departure time.",True,"FlyUnified, GoCalendar, UDriver"
"Our team needs a Python specialist. First, create a new job posting on TopWork for a 'Python Data Scientist' role with an hourly rate of $70 to $90. After that, search for 'Jessica William' on NetworkIn, who is a data scientist, and send him a connection request. Finally, draft an email to `recruiting.team@startupx.com` with the subject 'New Python Role Live' and mention that the job is posted and you've reached out to a promising candidate named Jessica William.",True,"GoMail, NetworkIn, TopWork"
